detector,datatype,resource,location,units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
SP,Raw-Events,input,Total,Million,10.9,19.4,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,Test,input,Total,TB,157.0,600.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,Sim-Events,input,Total,Million,1.3,5.0,5.0,10.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Raw-Events,input,Total,Million,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Test,input,Total,TB,0.0,0.0,0.0,0.0,1000.0,1000.0,100.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDHD,Sim-Events,input,Total,Million,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Raw-Events,input,Total,Million,0.0,0.5,0.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Test,input,Total,TB,0.0,42.0,500.0,231.0,231.0,231.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DP,Sim-Events,input,Total,Million,1.3,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Raw-Events,input,Total,Million,0.0,0.0,0.0,0.0,0.0,0.0,5.1,20.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Test,input,Total,TB,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDVD,Sim-Events,input,Total,Million,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDHD,Raw-Events,input,Total,Million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3
FDHD,Test,input,Total,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2500.0,5000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,1000.0,1000.0,1000.0
FDHD,Sim-Events,input,Total,Million,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
FDVD,Raw-Events,input,Total,Million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3
FDVD,Test,input,Total,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2500.0,5100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0,1100.0,1100.0,1100.0
FDVD,Sim-Events,input,Total,Million,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
ND-SAND,Raw-Events,input,Total,Million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
ND-SAND,Test,input,Total,TB,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
ND-SAND,Sim-Events,input,Total,Million,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,20.0,30.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
ND-LAr+TMS,Raw-Events,input,Total,Million,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
ND-LAr+TMS,Test,input,Total,TB,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
ND-LAr+TMS,Sim-Events,input,Total,Million,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
